Country,Version,Language,Date,PDF
Cook Islands,First,English,01/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cook%20Islands%20First/Cook%20Islands%20INDCsFINAL7Nov.pdf
Costa Rica,First (Archived),Spanish,13/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/INDC%20Costa%20Rica%20Version%202%200%20final%20ES.pdf
Costa Rica,First (Updated submission),Spanish,11/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/NDC%20Costa%20Rica%202020%20-%20Contribución%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Metas%20titulares.pdf
Costa Rica,First (Updated submission),Spanish,29/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/Contribución%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versión%20Completa.pdf
Costa Rica,First-English Translation (Archived),English,13/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/INDC%20Costa%20Rica%20Version%202%200%20final%20ENG.pdf
Cuba,First (Archived),Spanish,30/12/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Republic%20of%20Cuba-NDCs-Nov2015.pdf
Cuba,First (Updated submission),Spanish,17/09/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20(Updated%20submission).pdf
Cuba,First Summary (Updated submission),English,17/09/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20Summary%20(Updated%20submission).pdf
Cuba,First (Updated submission),English,10/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Cuban%20First%20NDC%20(Updated%20submission)1.pdf
Côte d'Ivoire,First,French,25/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Côte%20d%27Ivoire%20First/INDC_CI_22092015.pdf
Democratic People's Republic of Korea,First(Archived),English,03/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People%27s%20Republic%20of%20Korea%20First/DPRK-INDC%20by%202030.pdf
